Entity,Code,Year,Age group: 15-24 years of age,Age group: 25-34 years of age,Age group: 35-44 years of age,Age group: 55-64 years,Age group: 75-84 years, Age group: 65-74 years,Age group: 45-54 years,Age group: 85+ years of age
Trinidad and Tobago,TTO,2019,12.91,12.68,10.52,8.77,9.51,7.83,10.21,13.2
Tunisia,TUN,2019,3.51,5,4.45,3.73,6.64,4.73,3.25,12.18
Turkey,TUR,2019,2.86,2.8,3.18,2.94,4.31,3.45,3.16,6.99
Turkmenistan,TKM,2019,8.19,8.19,8.71,6.45,10.01,8.94,7.44,20.34
Uganda,UGA,2019,3.36,4.56,6.21,25.92,64.05,42.54,14.66,155.21
Ukraine,UKR,2019,12.31,23.77,30.61,24.72,30.59,25.14,30.32,58.28
United Arab Emirates,ARE,2019,5.67,8.11,7.88,7.05,9.21,6.12,7.36,17.06
United Kingdom,GBR,2019,4.94,8.88,11.74,11.15,6.99,6.83,13.48,8.03
United States,USA,2019,14.4,23.84,19.34,21.27,19.6,17.25,19.98,19.44
Uruguay,URY,2019,20.93,26.62,24.01,29.02,39.91,29.96,23.12,38.94
Uzbekistan,UZB,2019,14.09,9.27,11.48,8.23,8.73,8.12,10.74,15.25
Vanuatu,VUT,2019,31.4,33.43,28.84,22.19,29.2,23.64,19.26,130.18
Venezuela,VEN,2019,2.78,2.61,2.49,2.76,6.31,3.74,2.24,7.32
Vietnam,VNM,2019,5.36,7.21,7.28,15.19,24.44,22.88,8.43,21.44
Yemen,YEM,2019,7.66,9.85,11.18,8.3,7.91,7.99,10,18.52
Zambia,ZMB,2019,4.65,6.98,15.89,35.29,57.41,45.14,26.83,151.66
Zimbabwe,ZWE,2019,11.46,13.5,26.88,51.49,88.29,63.08,48.36,183.93
